timestamp_s,phase,tamper_type,altitude_m,speed_ms,heading_deg,latitude,longitude,anomaly_label,health_status
76,data_injection,injection,60.6979,0.0,-130.4,7.96679884,98.2787705,1,0
77,data_injection,injection,61.1979,0.0,-130.2,7.96679901,98.27877075,1,0
78,data_injection,injection,51.5347,0.0,-130.2,7.96662228,98.27859233,1,0
79,data_injection,injection,63.6979,0.0,-130.1,7.96679922,98.27877158,1,0
80,data_injection,injection,64.1978,0.0,-130.1,7.96679931,98.27877188,1,0
81,data_injection,injection,64.6978,0.0,-130.2,7.96679932,98.27877196,1,0
82,data_injection,injection,80.7978,4.2,-130.3,7.96683478,98.27881212,1,0
83,data_injection,injection,81.3979,4.4,-130.5,7.96683864,98.27881673,1,0
84,data_injection,injection,82.0978,4.5,-130.5,7.96684265,98.27882112,1,0
85,data_injection,injection,84.4978,5.2,-131.0,7.96686104,98.27884227,1,0
86,data_injection,injection,85.1978,5.3,-131.0,7.96686679,98.27884888,1,0
87,data_injection,injection,89.2017,5.3,-131.0,7.96678116,98.27894037,1,0
88,data_injection,injection,85.7978,5.4,-131.0,7.96687141,98.27885426,1,0
89,data_injection,injection,86.3979,5.6,-130.8,7.96687623,98.27885976,1,0
90,data_injection,injection,98.3746,6.0,-130.0,7.96709845,98.27871314,1,0
91,altitude_anomaly,altitude_spike,0.0,0.0,-131.4,7.96680156,98.27876811,1,0
92,altitude_anomaly,altitude_spike,233.3857,0.0,-131.4,7.96680154,98.27876812,1,0
93,altitude_anomaly,altitude_spike,0.0,0.0,-131.3,7.96680154,98.27876812,1,0
94,altitude_anomaly,altitude_spike,0.0,0.0,-131.2,7.96680155,98.27876809,1,0
95,altitude_anomaly,altitude_spike,-111.6707,0.0,-131.1,7.96680156,98.27876806,1,0
96,altitude_anomaly,altitude_spike,0.0,0.0,-131.2,7.96680155,98.27876808,1,0
97,altitude_anomaly,altitude_spike,37.0978,0.0,-128.4,7.96680183,98.27876856,1,0
98,altitude_anomaly,altitude_spike,116.2387,0.0,-125.0,7.96680183,98.27876869,1,0
99,altitude_anomaly,altitude_spike,37.0978,0.0,-126.3,7.96680179,98.27876869,1,0
100,altitude_anomaly,altitude_spike,41.1979,0.0,-129.3,7.96679968,98.27876948,1,0
101,altitude_anomaly,altitude_spike,140.3455,0.0,-129.9,7.96679968,98.2787695,1,0
102,altitude_anomaly,altitude_spike,42.1979,0.0,-130.0,7.96679964,98.27876962,1,0
103,altitude_anomaly,altitude_spike,48.0978,0.0,-130.4,7.96679917,98.27876991,1,0
104,altitude_anomaly,altitude_spike,115.4374,0.0,-130.2,7.96679909,98.27876984,1,0
105,altitude_anomaly,altitude_spike,49.0978,0.0,-130.3,7.96679908,98.27876988,1,0
106,altitude_anomaly,altitude_spike,54.2978,0.0,-130.2,7.96679915,98.27877008,1,0
107,altitude_anomaly,altitude_spike,-72.4675,0.0,-130.2,7.96679912,98.27877021,1,0
108,altitude_anomaly,altitude_spike,55.3978,0.0,-130.2,7.96679918,98.27877019,1,0
109,altitude_anomaly,altitude_spike,59.6979,0.0,-130.3,7.96679892,98.27877015,1,0
110,altitude_anomaly,altitude_spike,-22.2489,0.0,-130.4,7.96679886,98.27877052,1,0
111,altitude_anomaly,altitude_spike,60.6979,0.0,-130.4,7.96679884,98.2787705,1,0
112,altitude_anomaly,altitude_spike,64.1978,0.0,-130.1,7.96679931,98.27877188,1,0
113,altitude_anomaly,altitude_spike,-129.3942,0.0,-130.2,7.96679932,98.27877196,1,0
114,altitude_anomaly,altitude_spike,65.1978,0.0,-130.2,7.96679938,98.27877215,1,0
115,altitude_anomaly,altitude_spike,71.5978,0.0,-130.1,7.96680021,98.27877272,1,0
116,altitude_anomaly,altitude_spike,268.0001,0.1,-130.3,7.96680024,98.27877268,1,0
117,altitude_anomaly,altitude_spike,-68.3187,0.3,-131.0,7.96680075,98.27877308,1,0
118,altitude_anomaly,altitude_spike,73.0978,0.7,-130.8,7.9668017,98.27877403,1,0
119,altitude_anomaly,altitude_spike,-111.8428,1.1,-130.3,7.96680251,98.27877501,1,0
120,altitude_anomaly,altitude_spike,74.1978,1.4,-130.6,7.96680361,98.27877632,1,0
121,speed_anomaly,speed_inconsistency,0.0,0.0,-131.2,7.96680154,98.27876811,1,0
122,speed_anomaly,speed_inconsistency,36.9978,0.0,-131.2,7.96680155,98.27876809,1,0
123,speed_anomaly,speed_inconsistency,36.9978,0.0,-131.2,7.96680164,98.27876812,1,0
124,speed_anomaly,speed_inconsistency,36.9978,0.0,-131.2,7.96680162,98.27876832,1,0
125,speed_anomaly,speed_inconsistency,36.9978,0.0,-131.2,7.96680164,98.27876824,1,0
126,speed_anomaly,speed_inconsistency,36.9978,0.0,-131.2,7.96680165,98.27876824,1,0
127,speed_anomaly,speed_inconsistency,37.0978,0.0,-131.1,7.96680175,98.27876843,1,0
128,speed_anomaly,speed_inconsistency,37.0978,0.0,-131.1,7.96680184,98.27876843,1,0
129,speed_anomaly,speed_inconsistency,37.0978,0.0,-131.1,7.96680184,98.27876843,1,0
130,speed_anomaly,speed_inconsistency,37.0978,0.0,-128.4,7.96680183,98.27876856,1,0
131,speed_anomaly,speed_inconsistency,37.0978,0.0,-125.0,7.96680183,98.27876869,1,0
132,speed_anomaly,speed_inconsistency,37.0978,0.0,-126.3,7.96680179,98.27876869,1,0
133,speed_anomaly,speed_inconsistency,42.7978,0.0,-129.9,7.96679965,98.27876969,1,0
134,speed_anomaly,speed_inconsistency,43.3978,0.0,-130.3,7.96679951,98.27876992,1,0
135,speed_anomaly,speed_inconsistency,43.8978,0.0,-130.2,7.96679941,98.27877002,1,0
136,speed_anomaly,speed_inconsistency,54.8978,0.0,-130.2,7.96679912,98.27877021,1,0
137,speed_anomaly,speed_inconsistency,55.3978,0.0,-130.2,7.96679918,98.27877019,1,0
138,speed_anomaly,speed_inconsistency,55.8978,0.0,-130.3,7.96679923,98.2787702,1,0
139,speed_anomaly,speed_inconsistency,56.4978,0.0,-130.3,7.96679927,98.27877012,1,0
140,speed_anomaly,speed_inconsistency,58.0978,0.0,-130.1,7.96679908,98.27877015,1,0
141,speed_anomaly,speed_inconsistency,58.4978,0.0,-130.4,7.96679906,98.27877005,1,0
142,speed_anomaly,speed_inconsistency,59.1979,0.0,-130.4,7.96679898,98.27877026,1,0
143,speed_anomaly,speed_inconsistency,62.1979,0.0,-130.2,7.96679904,98.27877112,1,0
144,speed_anomaly,speed_inconsistency,62.7978,0.0,-130.2,7.96679906,98.27877118,1,0
145,speed_anomaly,speed_inconsistency,63.1979,0.0,-130.4,7.96679918,98.27877149,1,0
146,speed_anomaly,speed_inconsistency,63.6979,0.0,-130.1,7.96679922,98.27877158,1,0
147,speed_anomaly,speed_inconsistency,66.1978,0.0,-130.3,7.96679937,98.27877238,1,0
148,speed_anomaly,speed_inconsistency,66.7978,0.0,-130.2,7.96679927,98.27877245,1,0
149,speed_anomaly,speed_inconsistency,67.2978,0.0,-129.9,7.96679932,98.27877243,1,0
150,speed_anomaly,speed_inconsistency,70.4978,0.0,-130.2,7.96680018,98.27877275,1,0
151,heading_anomaly,heading_inconsistency,36.9978,0.0,-131.2,7.96680166,98.27876824,1,0
152,heading_anomaly,heading_inconsistency,36.9978,0.0,323.93,7.96680165,98.27876832,1,0
153,heading_anomaly,heading_inconsistency,36.9978,0.0,355.38,7.96680164,98.27876833,1,0
154,heading_anomaly,heading_inconsistency,36.9978,0.0,-131.1,7.96680164,98.27876833,1,0
155,heading_anomaly,heading_inconsistency,37.0978,0.0,-131.1,7.96680174,98.27876843,1,0
156,heading_anomaly,heading_inconsistency,37.0978,0.0,89.24,7.96680175,98.27876843,1,0
157,heading_anomaly,heading_inconsistency,37.0978,0.0,-131.1,7.96680184,98.27876843,1,0
158,heading_anomaly,heading_inconsistency,37.0978,0.0,-128.4,7.96680183,98.27876856,1,0
159,heading_anomaly,heading_inconsistency,37.0978,0.0,156.73,7.96680183,98.27876869,1,0
160,heading_anomaly,heading_inconsistency,37.0978,0.0,-126.3,7.96680179,98.27876869,1,0
161,heading_anomaly,heading_inconsistency,37.1979,0.1,-132.4,7.96680166,98.27876854,1,0
162,heading_anomaly,heading_inconsistency,37.1979,0.2,85.47,7.96680147,98.27876844,1,0
163,heading_anomaly,heading_inconsistency,37.2978,0.3,-130.3,7.96680116,98.27876825,1,0
164,heading_anomaly,heading_inconsistency,37.5978,0.2,-130.2,7.9668009,98.27876833,1,0
165,heading_anomaly,heading_inconsistency,37.7978,0.1,63.36,7.96680086,98.27876848,1,0
166,heading_anomaly,heading_inconsistency,37.9978,0.1,-130.3,7.96680061,98.27876895,1,0
167,heading_anomaly,heading_inconsistency,42.7978,0.0,-129.9,7.96679965,98.27876969,1,0
168,heading_anomaly,heading_inconsistency,43.3978,0.0,133.42,7.96679951,98.27876992,1,0
169,heading_anomaly,heading_inconsistency,43.8978,0.0,-130.2,7.96679941,98.27877002,1,0
170,heading_anomaly,heading_inconsistency,44.4978,0.0,341.27,7.96679938,98.27877006,1,0
171,combined_fault,combined,0.0,0.0,-131.4,7.96680155,98.27876812,1,0
172,combined_fault,combined,0.0,0.0,-131.4,7.96803357,98.27885569,1,0
173,combined_fault,combined,0.0,0.0,-131.4,7.96680154,98.27876812,1,0
174,combined_fault,combined,36.9978,0.0,-131.2,7.96680166,98.27876824,1,0
175,combined_fault,combined,145.9479,0.0,-131.2,7.96631887,98.27929605,1,0
176,combined_fault,combined,36.9978,0.0,307.76,7.96680164,98.27876833,1,0
177,combined_fault,combined,36.9978,0.0,330.33,7.96680164,98.27876833,1,0
178,combined_fault,combined,37.0978,0.0,300.84,7.96680174,98.27876843,1,0
179,combined_fault,combined,37.0978,0.0,-131.1,7.96680174,98.27876843,1,0
180,combined_fault,combined,38.3978,0.1,-130.1,7.96680031,98.27876901,1,0
181,combined_fault,combined,38.6979,0.0,334.56,7.96680026,98.27876918,1,0
182,combined_fault,combined,-42.6242,0.1,-130.3,7.96655179,98.27814101,1,0
183,combined_fault,combined,-64.8848,0.1,-130.2,7.96641161,98.27940037,1,0
184,combined_fault,combined,39.6979,0.1,-130.1,7.96679999,98.27876935,1,0
185,combined_fault,combined,57.5978,0.0,-130.1,7.96679913,98.27877013,1,0
186,combined_fault,combined,58.0978,0.0,-130.1,7.9673068,98.27936768,1,0
187,combined_fault,combined,58.4978,0.0,-130.4,7.96679906,98.27877005,1,0
188,combined_fault,combined,67.2978,0.0,-129.9,7.96679932,98.27877243,1,0
189,combined_fault,combined,67.7978,0.0,343.72,7.9667993,98.27877246,1,0
190,combined_fault,combined,68.2978,0.0,-130.3,7.96679958,98.27877257,1,0
